IDD,AddressName,AddressStreet,AddressLocation,AddressPhone,HoursDays,HoursTime,HeadImageTag,Event1,Event2
AUS,Austin Guidance Center,"10710 Research Blvd., Ste. 120","Austin, TX 78759",(512) 808-2821,Open Monday through Friday,9 am to 5 pm,"<img src=""images/AUS-head.png""  style=""padding-bottom:1px;""   height=""40"" width=""650"" ALT=""Your Austin Guidance Center "">","Thursday, March 26 | 2:30 to 4 pm",&nbsp;
CLE,Cleveland Guidance Center,"1915 Snow Rd., Ste. 4","Parma, OH 44134",(216) 778-6810,Open Monday through Friday,8:30 am to 5 pm,"<img src=""images/CLE-head.png""  style=""padding-bottom:1px;""   height=""40"" width=""650"" ALT=""Your Cleveland Guidance Center "">","Tuesday, March 17 | 10:30 to 12 pm",&nbsp;
COL,Columbus Guidance Center,"2025 W. Henderson Rd., Ste. 3A","Columbus, OH 43220",(614) 538-3000,Open Monday through Friday,8:30 am to 5 pm,"<img src=""images/COL-head.png""  style=""padding-bottom:1px;""   height=""40"" width=""650"" ALT=""Your Columbus Guidance Center "">","Wednesday, March 18 | 2:15 to 3:45 pm",&nbsp;
HEN,Henderson Guidance Center,"1000 N. Green Valley Pkwy., Ste. 720","Henderson, NV 89074",(702) 269-5200,Open Monday through Friday,8 am to 5 pm,"<img src=""images/HEN-head.png""  style=""padding-bottom:1px;""   height=""40"" width=""650"" ALT=""Your Henderson Guidance Center "">","Wednesday, March 4 | 9 to 11 am"," <br><font style=""padding-left:115px;"">OR</font><br><strong>Thursday, March 5 | 1 to 3 pm</strong>"
HOU,Houston Guidance Center,"9664 Westheimer Rd., Ste. 100","Houston, TX 77063",(713) 360-5290,Open Monday through Friday,9 am to 5 pm,"<img src=""images/HOU-head.png""  style=""padding-bottom:1px;""   height=""40"" width=""650"" ALT=""Your Houston Guidance Center "">","Wednesday, March 18 | 9 to 10:30am",&nbsp;
KCK,Kansas City Guidance Center,"215 N.E. Englewood Rd., Ste. A","Kansas City, MO 64118",(816) 459-7776,Open Monday through Friday,9 am to 5 pm,"<img src=""images/KCK-head.png""  style=""padding-bottom:1px;""   height=""40"" width=""650"" ALT=""Your Kansas City Guidance Center "">","Thursday, March 19 | 1 to 2:30 pm",&nbsp;
KNOX,Knoxville Guidance Center,4438 Western Ave.,"Knoxville, TN 37921",(865) 329-8892,Open Monday through Friday,8:30 am to 5 pm,"<img src=""images/KNOX-head.png""  style=""padding-bottom:1px;""   height=""40"" width=""650"" ALT=""Your Knoxville Guidance Center "">","Friday, March 13 | 10 to 11:30 am"," <br><font style=""padding-left:115px;"">OR</font><br><strong>Friday, March 27 | 10 to 11:30 am</strong>"
KISS,Kissimmee Guidance Center,3189 W. Vine St.,"Kissimmee, FL 34741",(407) 932-5340,Open Monday through Friday,9 am to 5 pm,"<img src=""images/KISS-head.png""  style=""padding-bottom:1px;""   height=""40"" width=""650"" ALT=""Your Kissimmee Guidance Center "">","Wednesday, March 11 | 10 to 11:30 am",&nbsp;
LOM,Lombard Guidance Center,2050-50 S. Finley Rd.,"Lombard, IL 60148",(630) 613-2800,Open Monday through Friday,8 am to 4:30 pm,"<img src=""images/LOM-head.png""  style=""padding-bottom:1px;""   height=""40"" width=""650"" ALT=""Your Lombard Guidance Center "">","Monday, March 30 |  1 to 2:30 pm",&nbsp;
LOU,Louisville Guidance Center,"1918 Hikes Ln., Ste. 101","Louisville, KY 40218",(502) 479-6580,Open Monday through Friday,8:30 am to 5 pm,"<img src=""images/LOU-head.png""  style=""padding-bottom:1px;""   height=""40"" width=""650"" ALT=""Your Louisville Guidance Center "">","Thursday, March 26 | 2 to 3:30 pm",&nbsp;
MES,Mesa Guidance Center,"5943 E. McKellips Rd., Ste. 106","Mesa, AZ 85215",(480) 325-4707,Open Monday through Friday,9 am to 5 pm,"<img src=""images/MES-head.png""  style=""padding-bottom:1px;""   height=""40"" width=""650"" ALT=""Your Mesa Guidance Center "">","Wednesday, March 18 | 9 to 10:30 am",&nbsp;
NAP,Naperville Guidance Center,"1964 Springbrook Sq. Dr., Ste. 108","Naperville, IL 60564",(630) 328-5029,Open Monday through Friday,8 am to 4:30 pm,"<img src=""images/NAP-head.png""  style=""padding-bottom:1px;""   height=""40"" width=""650"" ALT=""Your Naperville Guidance Center "">","Thursday, March 12 |  1 to 2:30 pm",&nbsp;
NOM,New Orleans Guidance Center,"1107 Veterans Blvd., Ste. 2B","Metairie, LA 70005",(504) 840-0906,Open Monday through Friday,9 am to 5 pm,"<img src=""images/NOM-head.png""  style=""padding-bottom:1px;""   height=""40"" width=""650"" ALT=""Your New Orleans Guidance Center "">","Thursday, March 12 |  12 to 1 pm",&nbsp;
PEO,Peoria Guidance Center,7915 N. Hale Ave.,"Peoria, IL 61615",(309) 691-1677,Open Monday through Friday,8 am to 5 pm,"<img src=""images/PEO-head.png""  style=""padding-bottom:1px;""   height=""40"" width=""650"" ALT=""Your Peoria Guidance Center "">","Thursday, March 19 |  1 to 2:30 pm",&nbsp;
SAN,San Antonio Guidance Center,803 Castroville Rd. (Next to HEB) ,"San Antonio, TX 78237",(210) 424-6086,Open Monday through Friday,9 am to 5 pm,"<img src=""images/SAN-head.png""  style=""padding-bottom:1px;""   height=""40"" width=""650"" ALT=""Your San Antonio Guidance Center "">","Tuesday, March 3 | 10:30 to 12 pm"," <br><font style=""padding-left:115px;"">OR</font><br><strong>Thursday, March 12 |  10 to 11:30 am (En Espanol)</strong>"
SUM,Summerlin Guidance Center,"8975 W. Charleston Bld., Ste. 100","Las Vegas, NV 89117",(702) 380-6170,Open Monday through Friday,8 am to 5 pm,"<img src=""images/SUM-head.png""  style=""padding-bottom:1px;""   height=""40"" width=""650"" ALT=""Your Summerlin Guidance Center "">","Wednesday, March 11 | 2 to 3:30 pm",&nbsp;
TAMC,Tamarac Guidance Center,7666 Nob Hill Rd.,"Tamarac, FL 33321",(954) 724-1540,Open Monday through Friday,9 am to 5 pm,"<img src=""images/TAMC-head.png""  style=""padding-bottom:1px;""   height=""40"" width=""650"" ALT=""Your Tamarac Guidance Center "">","Tuesday, March 10 | 10 to 11:30 am",&nbsp;
ZEP,Zephyrhills Guidance Center,7920 Gall Blvd.,"Zephyrhills, FL 33541",(813) 780-7300,Open Monday through Friday,8:30 am to 5 pm,"<img src=""images/ZEP-head.png""  style=""padding-bottom:1px;""   height=""40"" width=""650"" ALT=""Your Zephyrhills Guidance Center "">","Monday, March 2 | 11:30 to 1 pm",&nbsp;
BRAD,Bradenton Location,6036 14th St.,"W. Bradenton, FL 34207",(941) 487-6061,Open Monday through Friday,8:30 am to 5 pm,"<img src=""images/BRAD-head.png""  style=""padding-bottom:1px;""   height=""40"" width=""650"" ALT=""Your Bradenton Location "">","Tuesday, March 10 | 10 to 11:30 am",&nbsp;
SPC,Clearwater Location,"1530 N. McMullen Rd., Ste. D2","Clearwater, FL 33759 ",(727) 793-2100,Open Monday through Friday,8:30 am to 5 pm,"<img src=""images/SPC-head.png""  style=""padding-bottom:1px;""   height=""40"" width=""650"" ALT=""Your Clearwater Location "">","Tuesday, March 3 |  12:30 to 2 pm",&nbsp;
COR,Corpus Christi Location,"1801 S. Alameda St., Ste. 100","Corpus Christi, TX 78404 ",(361) 792-7950,Open Monday through Friday,8 am to 5 pm,"<img src=""images/COR-head.png""  style=""padding-bottom:1px;""   height=""40"" width=""650"" ALT=""Your Corpus Christi Location "">","Wednesday, March 11 |  10 to 11:00 am",&nbsp;
GREENS,Greensboro Location,"1420 Westover Terrace, Ste. C ","Greensboro, NC 27408",(336) 547-2701,Open Monday through Friday,8 am to 5 pm,"<img src=""images/GREENS-head.png""  style=""padding-bottom:1px;""   height=""40"" width=""650"" ALT=""Your Greensboro Location "">","Thursday, March 19 |  10 to 11 am",&nbsp;
PORTRICH,Port Richey Location,"9550 US Hwy. 19, Ste. D-4 ","Port Richey, FL 34668",(727) 484-7800,Open Monday through Friday,8:30 am to 5 pm,"<img src=""images/PORTRICH-head.png""  style=""padding-bottom:1px;""   height=""40"" width=""650"" ALT=""Your Port Richey Location "">","Thursday, March 5 |  12 to 1:30 pm",&nbsp;
SPRING,Spring Hill Location,4314 Commercial Way,"Spring Hill, FL 34606",(352) 592-4080,Open Monday through Friday,8:30 am to 5 pm,"<img src=""images/SPRING-head.png""  style=""padding-bottom:1px;""   height=""40"" width=""650"" ALT=""Your Spring Hill Location "">","Wednesday, March 18 | 11:30 to 1 pm",&nbsp;
TAM,Tampa Location,10037 N. Dale Mabry Hwy.,"Tampa, FL 33618",(813) 463-4221,Open Monday through Friday,8:30 am to 5 pm,"<img src=""images/TAM-head.png""  style=""padding-bottom:1px;""   height=""40"" width=""650"" ALT=""Your Tampa Location "">","Wednesday, March 25 | 12:30 to 2 pm",&nbsp;
,,,,,,,,,
,,,,,,,,,